Monarch,Danaus plexippus
Red-spotted Purple,Limenitis arthemis
Cloudless Sulpher,Phoebis sennae
Arcigera Flower Moth,Schinia arcigera
Coral Hairstreak,Harkenclenus titus
Eastern Tailed-Blue,Cupido comyntas
Spicebush Swallowtail,Papilio troilus
Snowberry Clearwing,Hemaris diffinis
Eastern Comma,Polygonia comma
Interrupted Dagger Moth,Acronicta interrupta
Eastern Tiger Swallowtail,Papilio glaucus
Hickory Tussock Moth,Lophocampa caryae
Eight-Spot Forester,Alypia octomaculata
The Green Marvel,Agriopodes fallax
Abbott's Sphinx,Sphecodina abbottii
Great Leopard Moth,Hypercompe scribonia
Mourning Cloak,Nymphalis antiopa
Small-eyed Sphinx,Paonias myops
Isabella Tiger Moth,Pyrrharctia isabella
Green Leuconycta,Leuconycta diphteroides
White-lined Sphinx,Hyles lineata
Wavy-Lined Emerald,Synchlora aerata
Common Eupithacia,Eupithecia miserulata
Small Brown Quaker,Pseudorthodes vecors
Unexpected Cycnia,Cycnia inopinatus
Floating-heart Waterlilly Moth,Parapoynx seminealis
Julia's Dicymolomia Moth,Dicymolomia julianalis
Pale Beauty,Campaea perlata
Black-patched Clepsis Moth,Clepsis melaleucana
Brown Scoopwing,Calledapteryx dryopterata
The Aster Borer Moth,Carmenta Corni
Double-Toothed Prominent,Nerice bidentata
Dimorphic Gray,Tornos scolopacinaria
Eastern Panthea,Panthea furcilla
Chalcedony Midget,Elaphria chalcedonia
Serpentine Webworm,Herpetogramma aeglealis
White-Tailed Diver,Bellura gortynoides
American Lotus Borer,Ostrinia penitalis
Elm Sphinx,Ceratomia amyntor
Laurel Sphinx,Sphinx kalmiae
Obscure Pondweed Moth,Parapoynx obscuralis
Tuliptree Silkmoth,Callosamia angulifera
Rosy Maple Moth,Dryocampa rubicunda
Clymene Moth,Haploa clymene
Whitemarked Tussock Moth,Orgyia leucostigma
Spiny Oak-Slug Moth,Euclea delphinii
Cobweb Skipper,Hesperia metea
Orange Sallow,Tiliacea citrago
Apple Sphinx,Sphinx gordius
Polymorphic Pondweed Moth,Parapoynx maculalis
Shy Cosmet,Limnaecia phragmitella
Imperial Moth,Eacles imperialis
American Angle Shades,Euplexia benesimilis
Common Buckeye,Junonia coenia
Question Mark Moth,Polygonia interrogationis
Aster-head Phaneta,Eucosma tomonana
Waterlily Owlet,Homophoberia cristata
Royal Walnut Moth,Citheronia regalis
Waterlily Leafcutter Moth,Elophila obliteralis
Liatris Borer Moth,Carmenta Anthracipennis
Promethea Silkmoth,Callosamia promethea
Walnut Sphinx,Amorpha juglandis
Crocus Geometer,Xanthotype urticaria
Glassy Borer,Apamea devastator
Io Moth,Automeris io
Crossline Skipper,Polites origenes
Goldenrod Gall Moth,Gnorimoschema gallaesolidaginis
Large Lace-Border,Scopula limboundata
Pondside Pyralid Moth,Elophila icciusalis
Smeared Dagger Moth,Acronicta oblinita
Cecropia Silkmoth,Hyalophora cecropia
Hummingbird Clearwing,Hemaris thysbe
Baltimore Snout Moth,Hypena baltimoralis
Hoffman's Cochild Moth,Cochylichroa hoffmanana
Polyphemus Moth,Antheraea polyphemus
American Bordered Sallow,Pyrrhia cilisca
Three-Lined Flower Moth,Schinia trifascia
Variable Oakleaf Caterpillar Moth,Lochmaeus manteo
Drab Brown Wave,Lobocleta ossularia
Red-Humped Caterpillar Moth,Schizura concinna
Double-Banded Carpet,Spargania magnoliata
Dusted Skipper,Atrytonopsis hianna
Gray-hooded-Owlet Moth,Cucullia florea
Verbena Bud Moth,Endothenia hebesana
American Lady,Vanessa virginiensis
Spotted Apatelode,Apatelodes torrefacta
Bold-feathered Grass Moth,Herpetogramma pertextalis
Curved-Tooth Geometer Moth,Eutrapela clemataria
Stalk Borer,Papaipema nebris
Wheat Head Armyworm Moth,Faronta diffusa
Wandering Tiger Moth,Spilosoma vagans
Hitched Arches,Melanchra adjuncta
Summer Azure,Celastrina neglecta
Norman's Quaker,Crocigrapha normani
Lesser Cornstalk Borer,Elasmopalpus lignosellus
Setaceous Hebrew Character,Xestia c-nigrum
White Speck,Mythimna unipuncta
Omnivorous Leafroller Moth,Platynota stultana
Red Swordgrass Moth,Xylena vetusta
Corn Earworm Moth,Helicoverpa zea
Fall Armyworm Moth,Spodoptera frugiperda
Black Swallowtail,Papilio polyxenes
Clouded Skipper,Lerema accius
Yellow Sedge Borer,Capsula subflava
Burdock Borer,Papaipema cataphracta
Spotted Straw Moth,Heliocheilus turbata
Striped Garden Caterpillar Moth,Trichordestra legitima
Leonard's Skipper,Hesperia leonardus
Greater Black-letter Dart,Xestia dolosa
Southern Cloudywing,Thorybes bathyllus
Tobacco Budworm Moth,Helicoverpa armigera
Painted Lady,Vanessa cardui
Broad-winged Skipper,Poanes viator
Yellowstriped Armyworm Moth,Spodoptera ornithogalli
The Consort,Catocala consors
Appalachian Azure,Celastrina neglectamajor
Black-pitched Clepsis Moth,Clepsis melaleucana
European Corn Borer Moth,Ostrinia nubilalis
Smith's Dart,Xestia smithii
Pink-Spotted Dart,Pseudohermonassa bicarnea
White Triangle Tortrix,Clepsis persicana
Yellow-Collared Scape Moth,Cisseps fulvicollis
Hawaiian Beet Webworm,Spoladea recurvalis
Satyr Pug,Eupithecia satyrata
Common Roadside-Skipper,Amblyscirtes vialis
Metallic Coleophora Moth,Coleophora mayrella
Paradoxical Grass Moth,Heliocheilus paradoxus
Green Cutworm Moth,Anicla infecta
Indian Skipper,Hesperia sassacus
Garden Tortrix Moth,Clepsis peritana
Pink-Patched Looper Moth,Eosphoropteryx thyatyroides
Hermit Sphinx,Lintneria eremitus
Bordered Apamea Moth,Apamea sordens
Soybean Looper Moth,Chrysodeixis includens
Loosestrife Borer,Papaipema lysimachiae
Snowy Geometer,Eugonobapta nivosaria
Cranberry Girdler,Chrysoteuchia topiaria
Dingy Cutworm,Feltia jaculifera
Bilobed Looper Moth,Autographa biloba
Celery Leaftier,Udea rubigalis
Watermilfoil Leafcutter,Parapoynx allionealis
Pepper and Salt Skipper,Amblyscirtes hegon
