Common yarrow,Achillea millefolium,https://upload.wikimedia.org/wikipedia/commons/1/17/Yarrow_%28Achillea_millefolium%29.jpg,3,Full,Moist,Clay,11,T,10,Wavy-Lined Emerald,Common Eupithacia,Small Brown Quaker,Voluble Dart,Spotted Straw Sun Moth,Northern Scurfy Quaker,Cynical Quaker,Striped Garden Caterpillar,Blackberry Looper Moth,Stalk Border
Black huckleberry,Gaylussacia baccata,https://live.staticflickr.com/5312/6943111582_8defc9f621_b.jpg,2,Partial,Dry,Clay,39,F,10,Laurel Sphinx,Apple Sphinx,Large Lace-Border,Laurel Sphinx,Red-spotted Purple,Polyphemus Moth,Cecropia Silkmoth,Blueberry Leaftier Moth,Clouded Veneer Moth,Formosa Looper Moth
New york ironweed,Vernonia noveboracensis,https://live.staticflickr.com/3794/9300697331_54635ce865_b.jpg,3,Full,Moist,Clay,22,F,3,Blackberry Looper Moth,Tufted Apple-Bud Moth,Common Tan Wave,,,,,,,
Butterfly milkweed,Asclepias tuberosa,https://live.staticflickr.com/440/19473609641_44c0ea332e_b.jpg,1,Full,Dry,Sandy,12,F,10,Unexpected Cycnia,Monarch,Isabella Tiger Moth,Cecropia Silkmoth,Pygarctia Eglenensis,Delicate Cycnia,Milkweed Tussock Moth,Striped Garden Caterpillar,Black-shaded Platynota,Hitched Arches
Goldenclub,Orontium aquaticum,https://live.staticflickr.com/65535/49932315373_89a2914f7d_b.jpg,1,Full,Wet,Clay,12,F,4,Floating-heart Waterlilly,Polymorphic Pondweed Moth,Pondside Pyralid Moth,Waterlily Leafcutter Moth,,,,,,
Southern cattail,Typha domingensis,https://live.staticflickr.com/7564/15657392893_7193a8a577_b.jpg,1,Full,Wet,Loamy,16,F,10,Julia's Dicymolomia Moth,Shy Cosmet,Smeared Dagger Moth,Biden's Borer Moth,Julia's Dicymolomia Moth,Oblong Sedge Borer Moth,False Wainscot,Henry's Marsh Moth,White-Tailed Diver,Yellow Sedge Borer
Eastern hemlock,Tsuga canadensis,https://live.staticflickr.com/199/479430106_6e6172989a_b.jpg,30,Partial,Moist,Loamy,69,T,10,Pale Beauty,Imperial Moth,Cecropia Silkmoth,Whitemarked Tussock Moth,Four-Spotted Fungus Moth,Green Hemlock Needleminer Moth,Labrador Carpet,Little White Lichen Moth,American Idia,Black Zigzag
Toadshade,Trillium sessile,https://live.staticflickr.com/65535/49653362137_8a23486402_b.jpg,1,Shade,Moist,Loamy,2,F,2,Black-patched Clepsis Moth,American Angle Shades,empty,,,,,,,
Blackhaw,Viburnum prunifolium,https://live.staticflickr.com/65535/48332580036_54b6240bb4_b.jpg,10,Full,Wet,Clay,99,T,10,Brown Scoopwing,The Green Marvel,Hummingbird Clearwing,Snowberry Clearwing,Isabella Tiger Moth,Purple-Crested Slug,Crocus Geometer,Promethea Silkmoth,Blinded Sphinx,Red-Humped Caterpillar
Southern arrowwood,Viburnum dentatum,https://live.staticflickr.com/5155/7238353628_445da6f87f_b.jpg,10,Shade,Wet,Sandy,99,T,10,Brown Scoopwing,The Green Marvel,Hummingbird Clearwing,Snowberry Clearwing,Isabella Tiger Moth,Purple-Crested Slug,Crocus Geometer,Promethea Silkmoth,Blinded Sphinx,Red-Humped Caterpillar
Neckweed,Veronica peregrina,https://live.staticflickr.com/65535/50029660983_826258acd4_b.jpg,1,Partial,Dry,Loamy,7,F,6,The Aster Borer Moth,Common Buckeye,,One-lined Sparganothis,Burdock Border,Dusky Leafroller,,,,
American elm,Ulmus americana,https://live.staticflickr.com/4111/5101983801_ba3dc7c395_b.jpg,4,Full,Moist,Clay,174,T,10,Double-Toothed Prominent,Question Mark Moth,Elm Sphinx,Mourning Cloak,Interrupted Dagger Moth,Large Lace-Border,Definite Tussock Moth,Variable Oakleaf Caterpillar Moth,Isabella Tiger Moth,Pale Beauty
New england aster,Symphyotrichum novae-angliae,https://live.staticflickr.com/1436/5127417271_cac902529b_b.jpg,1,Partrial,Moist,Loamy,90,F,10,Dimorphic Gray,Aster-head Phaneta,Hoffman's Cochild Moth,Dimorphic Gray,X,Goldenrod Gall Moth,Speyer's Cucullia,Clemen's Clepsis Moth,Pale-Banded Dart,Blackberry Looper Moth
American basswood,Tilia americana,https://live.staticflickr.com/65535/49771302717_a936f42b92_b.jpg,80,Partial,Moist,Sandy,139,T,10,Eastern Panthea,Question Mark Moth,Elm Sphinx,Mourning Cloak,Interrupted Dagger Moth,Small-eyed Sphinx,Definite Tussock Moth,Variable Oakleaf Caterpillar Moth,Pale Beauty,Purple-Crested Slug
Black elderberry,Sambucus nigra,https://live.staticflickr.com/4139/4768392605_7dfa1fca83_b.jpg,8,Partial,Wet,Clay,32,T,10,White-lined Sphinx,Imperial Moth,Polyphemus Moth,Cecropia Silkmoth,Whitemarked Tussock Moth,American Vine Moth,Elder Shoot Border Moth,Maple Bud Borer,Orange-headed Epicallima Moth,Anania Tertialis
Foxglove beardtongue,Penstemon digitalis,https://live.staticflickr.com/7451/8944611120_9d2b1aebce_b.jpg,1,Full,Dry,Clay,9,T,7,Chalcedony Midget,Common Buckeye,American Bordered Sallow,Purple-Lined Sallow,The Baltimore,Verbena Bud Moth,Mouse-Colored Pyrophila,,,
Hairy beardtongue,Penstemon hirsutus,https://live.staticflickr.com/7114/7505190856_f6b7ee4ba5_b.jpg,1,Full,Dry,Clay,9,T,7,Chalcedony Midget,Common Buckeye,American Bordered Sallow,Purple-Lined Sallow,The Baltimore,Verbena Bud Moth,Mouse-Colored Pyrophila,,,
Balsam groundsel,Packera paupercula,https://live.staticflickr.com/65535/48121731023_920b2530cd_b.jpg,1,Partial,Wet,Loamy,1,T,1,Serpentine Webworm,empty,empty,,,,,,,
Golden ragwort,Packera aurea,https://live.staticflickr.com/7056/6887870978_9b05a23d90_b.jpg,1,Partial,Wet,Loamy,1,T,1,Serpentine Webworm,empty,empty,,,,,,,
Small's ragwort,Packera anonyma,https://live.staticflickr.com/3756/8859403560_08dd2deb9a_b.jpg,1,Shade,Moist,Loamy,1,T,1,Serpentine Webworm,empty,empty,,,,,,,
American white waterlily,Nymphaea odorata,https://live.staticflickr.com/3671/9146871516_72b32f5a09_b.jpg,1,Full,Flooded,Sandy,9,F,9,White-Tailed Diver,Waterlily Owlet,Polymorphic Pondweed Moth,White-Tailed Diver,Waterlily Borer Moth,Watermilfoil Leafcutter,Obscure Pondweed Moth,Waterlily Leafcutter Moth,Yellowstriped Armyworm Moth,
Yellow pond-lily,Nuphar lutea,https://live.staticflickr.com/5524/14428441404_e296958b60_b.jpg,1,Partial,Flooded,Clay,8,F,8,American Lotus Borer,Waterlily Owlet,Polymorphic Pondweed Moth,White-Tailed Diver,Waterlily Borer Moth,Obscure Pondweed Moth,Waterlily Leafcutter Moth,Smeared Dagger Moth,,
Green ash,Fraxinus pennsylvanica,https://live.staticflickr.com/1080/5107486573_ff76886d48_b.jpg,1,Partial,Flooded,Loamy,124,T,10,Elm Sphinx,Apple Sphinx,Mourning Cloak,Laurel Sphinx,Royal Walnut Moth,Promethea Silkmoth,Easter Tiger Swallowtail,Blinded Sphinx,Spiny Oak-Slug Moth,Hickory Tussock Moth
White ash,Fraxinus americana,https://live.staticflickr.com/2623/3911850252_38024ba005_b.jpg,60,Full,Moist,Clay,124,T,10,Elm Sphinx,Apple Sphinx,Mourning Cloak,Laurel Sphinx,Royal Walnut Moth,Promethea Silkmoth,Easter Tiger Swallowtail,Blinded Sphinx,Spiny Oak-Slug Moth,Hickory Tussock Moth
American fringetree,Chionanthus virginicus,https://live.staticflickr.com/4032/4599087088_ed43f780a1_b.jpg,20,Partial,Dry,Sandy,11,T,10,Laurel Sphinx,Royal Walnut Moth,Eastern Tiger Swallowtail,Blinded Sphinx,Whitemarked Tussock Moth,Lilac Borer Moth,Fringed-Tree Sallow,Great Ash Sphinx,Waved Sphinx,Fall Webworm
Nuttall's mudflower *,Micranthemum micranthemoides,https://i.etsystatic.com/12407235/r/il/f9ca4d/2351369367/il_1588xN.2351369367_g5j8.jpg,1,Partia,Moist,Loamy,2,F,2,Obscure Pondweed Moth,Waterlily Leafcutter Moth,empty,,,,,,,
Southern crab apple,Malus angustifolia,https://live.staticflickr.com/203/477523983_8c107fa4b3_b.jpg,1,Full,Moist,Clay,233,T,10,Tuliptree Silkmoth,Interrupted Dagger Moth,Apple Sphinx,Interrupted Dagger Moth,Large Lace-Border,Laurel Sphinx,Small-eyed Sphinx,Variable Oakleaf Caterpillar Moth,Purple-Crested Slug,Banded Purple
Sweet crab apple *,Malus coronaria,http://api.creativecommons.engineering/v1/thumbs/b89753db-b9bb-473c-99d5-8c6916cb368c?full_size=True,1,Full,Moist,Loamy,233,T,10,Tuliptree Silkmoth,Interrupted Dagger Moth,Apple Sphinx,Interrupted Dagger Moth,Large Lace-Border,Laurel Sphinx,Small-eyed Sphinx,Variable Oakleaf Caterpillar Moth,Purple-Crested Slug,Banded Purple
Savanna Blazing Star,Liatris scariosa,https://upload.wikimedia.org/wikipedia/commons/d/d2/Savanna_Blazing-star_%28Liatris_scariosa%29_%2821304763556%29.jpg,1,Full,Dry,Sandy,4,F,4,Wavy-Lined Emerald,Carmenta Anthracipennis,Three-Lined Flower Moth,Sunflower Moth,,,,,,
Mountain laurel,Kalmia latifolia,https://live.staticflickr.com/3695/14289856891_d6dcca22aa_b.jpg,10,Full,Wet,Sandy,25,T,10,Laurel Sphinx,Promethea Silkmoth,Whitemarked Tussock Moth,Acrobasis Amplexella,Heath Probole,Shagbark Hickory Leafroller,Sundew Dart,X,Red-Fronted Emerald,Stained-back Leafroller Moth
Black walnut,Juglans nigra,https://live.staticflickr.com/7268/6861364956_31e4df3e82_b.jpg,86,Full,Moist,Loamy,224,T,10,Rosy Maple Moth,Walnut Sphinx,Variable Oakleaf Caterpillar Moth,Royal Walnut Moth,Luna Moth,Hickory Tussock Moth,Red-Humped Caterpillar,Imperial Moth,Polyphemus Moth,Io Moth
Virginia strawberry,Fragaria virginiana,https://live.staticflickr.com/3467/3309938140_5590eb902c_b.jpg,1,Shade,Moist,Loamy,63,F,10,Isabella Tiger Moth,Crocus Geometer,Drab Brown Wave,Eastern Grass Tubeworm,Grass Tubeworm Moth,The Slowpoke,Bronzed Cutworm,Himmelman's Plume Moth,Master's Dart,Olivaceous Olethreutes
Roundleaf thoroughwort,Eupatorium rotundifolium,https://live.staticflickr.com/65535/49643288772_5fc7e5bd1d_b.jpg,1,Full,Moist,Sandy,38,F,3,Clymene Moth,Wavy-Lined Emerald,Red-Humped Caterpillar Moth,,,,,,,
Carolina geranium *,Geranium carolinianum,https://live.staticflickr.com/3259/2560939670_6e81502147_b.jpg,2,Partial,Moist,Loamy,24,F,3,Whitemarked Tussock Moth,Glassy Borer,Double-Banded Carpet,,,,,,,
Spotted geranium,Geranium maculatum,https://live.staticflickr.com/4633/25500071718_bec99bf7bf_b.jpg,2,Partial,Moist,Loamy,24,F,3,Whitemarked Tussock Moth,Glassy Borer,Double-Banded Carpet,,,,,,,
Crimsoneyed rosemallow,Hibiscus moscheutos,https://upload.wikimedia.org/wikipedia/commons/0/0f/Hardy_Hibiscus%2C_Rose_Mallow%2C_Swamp_Mallow_%28Hibiscus_moscheutos%29.jpg,1,Partial,Flooded,Clay,25,F,3,Spiny Oak-Slug Moth,Io Moth,Whitemarked Tussock Moth,,,,,,,
Eastern daisy fleabane,Erigeron annuus,https://live.staticflickr.com/65535/47972917837_4c1464e891_b.jpg,1,Partial,Moist,Sandy,25,F,3,Green Leuconycta,White-lined Sphinx,Wavy-Lined Emerald,,,,,,,
Little bluestem,Schizachyrium scoparium,https://live.staticflickr.com/3379/3485053382_aec0336606_b.jpg,1,Full,Dry,Loamy,6,F,3,Cobweb Skipper,Crossline Skipper,Dusted Skipper,,,,,,,
Slender goldentop *,Euthamia caroliniana,https://collections.nmnh.si.edu/media/?irn=14891306,2,Partial,Dry,Loamy,7,F,3,Solidaga Eucosma,Goldenrod Gail Moth,Gray-hooded-Owlet Moth,,,,,,,
purple false foxglove,Agalinis purpurea,https://live.staticflickr.com/5778/20934319713_84d2be6783_b.jpg,1,Full,Wet,Sandy,4,F,3,Orange Sallow,Common Buckeye,empty,,,,,,,
Slender false foxglove,Agalinis tenuifolia,https://live.staticflickr.com/1821/42252433494_5358c0f9aa_b.jpg,1,Full,Moist,Sandy,4,F,3,Orange Sallow,Common Buckeye,empty,,,,,,,
Lanceleaf figwort,Scrophularia lanceolata,https://live.staticflickr.com/3376/3620602218_22a09149e3_b.jpg,5,Partial,Moist,Sandy,4,F,,Verbena Bud Moth,Chalcedony Midget,Garden Tortrix Moth,,,,,,,
Spring forget-me-not,Myosotis verna,https://live.staticflickr.com/5022/5598327080_b302bf022b_b.jpg,1,Patrital,Moist,Clay,3,F,,American Lady,Greater Black-letter Dart,Spotted Cut-Worm,,,,,,,
Amberique-bean,Strophostyles helvola,https://live.staticflickr.com/4565/38602952152_84fa583dfa_b.jpg,1,Partial,Moist,Sandy,4,F,,Spotted Apatelode,Southern Cloudywing,empty,,,,,,,
Canadian lousewort,Pedicularis canadensis,https://live.staticflickr.com/376/32165975185_2fc24059de_b.jpg,1,Partial,Moist,Loamy,4,F,,Bold-feathered Grass Moth,Striped Garden Caterpillar Moth,Pink-Patched Looper Moth,,,,,,,
Basil mountainmint,Pycnanthemum clinopodioides,https://api.creativecommons.engineering/v1/thumbs/f15cfcff-3f98-4d04-b806-d5e761fbd7a6,2,Full,Moist,Clay,4,F,,Curved-Tooth Geometer Moth,Tobacco Budworm Moth,Hermit Sphinx,,,,,,,
Clustered mountainmint,Pycnanthemum muticum,https://live.staticflickr.com/1864/30777064528_ee404582f8_b.jpg,3,Partial,Moist,Clay,4,F,,Curved-Tooth Geometer Moth,Tobacco Budworm Moth,Hermit Sphinx,,,,,,,
Narrowleaf mountainmint,Pycnanthemum tenuifolium,https://live.staticflickr.com/7290/9197998966_43951b9c2e_b.jpg,1,Full,Dry,Sandy,4,F,,Curved-Tooth Geometer Moth,Tobacco Budworm Moth,Hermit Sphinx,,,,,,,
Western pearly everlasting,Anaphalis margaritacea,https://live.staticflickr.com/5491/11918085616_5bc87286e4_b.jpg,2,Partial,Dry,Sandy,4,F,,American Lady,Painted Lady,empty,,,,,,,
Richweed,Collinsonia canadensis,https://live.staticflickr.com/8438/7781634816_3cfd9c6d51_b.jpg,3,Partial,Moist,Clay,4,F,,Stalk Border,Hitched Arches,Summer Azure,,,,,,,
Annual wildrice,Zizania aquatica,https://live.staticflickr.com/454/19553835254_25e9ee6dc5_b.jpg,1,Full,Flooded,Loamy,4,F,,Wheat Head Armyworm Moth,Broad-winged Skipper,Bordered Apamea Moth,,,,,,,
Slender yellow woodsorrel,Oxalis dillenii,https://live.staticflickr.com/3139/2443358533_2d84f0f841_b.jpg,1,Partial,Moist,Loamy,4,F,,Wandering Tiger Moth,Yellowstriped Armyworm Moth,Soybean Looper Moth,,,,,,,
Earth loosestrife,Lysimachia terrestris,https://live.staticflickr.com/7402/9325476404_50ca485ab4_b.jpg,3,Partial,Moist,Loamy,4,F,,Hitched Arches,The Consort,Loosestrife Borer,,,,,,,
Black baneberry,Actaea racemosa,https://live.staticflickr.com/6011/5936392863_cb50c18716_b.jpg,4,Full,Wet,Loamy,3,F,,Summer Azure,Appalachian Azure,empty,,,,,,,
Papooseroot,Caulophyllum thalictroides,https://live.staticflickr.com/7202/26877439935_f72b232828_b.jpg,1,Full,Moist,Loamy,3,F,,Norman's Quaker,Black-pitched Clepsis Moth,Snowy Geometer,,,,,,,
Shortawn foxtail,Alopecurus aequalis,https://live.staticflickr.com/2660/3822646096_63ff3999c0_b.jpg,2,Partial,Dry,Loamy,2,F,,Lesser Cornstalk Borer,European Corn Borer Moth,Cranberry Girdler,,,,,,,
Slender bunchflower,Veratrum hybridum,https://live.staticflickr.com/6082/6022759472_31b16802d5_b.jpg,2,Partial,Dry,Loamy,3,F,,Setaceous Hebrew Character,Smith's Dart,empty,,,,,,,
American mannagrass,Glyceria grandis,https://live.staticflickr.com/2569/3864218191_084e5095bd_b.jpg,1,Full,Moisy,Loamy,4,F,,White Speck,Pink-Spotted Dart,empty,,,,,,,
Creeping mannagrass,Glyceria acutiflora,https://upload.wikimedia.org/wikipedia/commons/7/75/Glyceria_acutiflora_subsp_japonica_mutuoregs04.jpg,1,Full,Moisy,Loamy,4,F,,White Speck,Pink-Spotted Dart,empty,,,,,,,
Feathery false lily of the valley,Maianthemum racemosum,https://live.staticflickr.com/3545/3511624274_c75a42454c.jpg,3,Shade,Moist,Clay,4,F,,Omnivorous Leafroller Moth,White Triangle Tortrix,Burdock Borer,,,,,,,
Canadian rush,Juncus canadensis,https://live.staticflickr.com/4416/36204769650_f7893c60aa_b.jpg,1,Full,Flooded,Clay,8,F,,Red Swordgrass Moth,Yellow-Collared Scape Moth,Yellow Sedge Borer,,,,,,,
Grassleaf rush,Juncus marginatus,http://www.southeasternflora.com/images/medium/Juncus%20marginatus_070813_713.jpg,2,Full,Wet,Clay,8,F,,Red Swordgrass Moth,Yellow-Collared Scape Moth,Yellow Sedge Borer,,,,,,,
Slimpod rush,Juncus diffusissimus,https://live.staticflickr.com/7307/9604805540_f6837ceb8b_b.jpg,2,Full,Wet,Clay,8,F,,Red Swordgrass Moth,Yellow-Collared Scape Moth,Yellow Sedge Borer,,,,,,,
Weak rush,Juncus debilis,https://guides.nynhp.org/media/i11373.jpg,1,Full,Wet,Clay,8,F,,Red Swordgrass Moth,Yellow-Collared Scape Moth,Yellow Sedge Borer,,,,,,,
Hyssopleaf hedgenettle,Stachys aspera,https://www.flower-db.com/uploads/large_49944dd9-c3a1-4b03-b911-4b8c2468db25.jpg,1,Shade,Moist,Sandy,8,F,,Corn Earworm Moth,Verbena Bud Moth,Bilobed Looper Moth,,,,,,,
Sanddune sandbur,Cenchrus tribuloides,https://live.staticflickr.com/3538/3771032788_8e35363086_b.jpg,1,Partial,Moist,Sandy,3,F,,Fall Armyworm Moth,White Speck,Green Cutworm Moth,,,,,,,
Rattlesnakemaster,Eryngium aquaticum,https://collections.nmnh.si.edu/media/?irn=14891431,3,Full,Dry,Loamy,3,F,,Black Swallowtail,Hawaiian Beet Webworm,Celery Leaftier,,,,,,,
Beaked spikerush,Eleocharis rostellata,https://live.staticflickr.com/3510/3735302658_64f5d521f2_b.jpg,1,Partial,Wet,Loamy,3,F,,Waterlily Leafcutter Moth,Yellow-Collared Scape Moth,Watermilfoil Leafcutter,,,,,,,
Common spikerush,Eleocharis palustris,https://live.staticflickr.com/2541/4156754546_52a04c0756_b.jpg,1,Partial,Moist,Loamy,3,F,,Waterlily Leafcutter Moth,Yellow-Collared Scape Moth,Watermilfoil Leafcutter,,,,,,,
White turtlehead,Chelone glabra,https://live.staticflickr.com/118/264374378_9fd5de343e.jpg,3,Full,Moist,Loamy,4,F,,Verbena Bud Moth,Satyr Pug,empty,,,,,,,
Indian woodoats,Chasmanthium latifolium,https://live.staticflickr.com/5523/11029260214_ba4f0d91b4_b.jpg,3,Partial,Dry,Sandy,4,F,,Clouded Skipper,Common Roadside-Skipper,Pepper and Salt Skipper,,,,,,,
Slender woodoats,Chasmanthium laxum,https://live.staticflickr.com/3142/5850915080_3b396470e9_b.jpg,3,Shade,Wet,Sandy,4,F,,Clouded Skipper,Common Roadside-Skipper,Pepper and Salt Skipper,,,,,,,
Canby's bulrush,Schoenoplectus etuberculatus,https://api.creativecommons.engineering/v1/thumbs/d35f3b2c-db55-438c-9ae6-9823fd301e68,3,Partial,Wet,Sandy,2,F,,Yellow Sedge Borer,empty,empty,,,,,,,
Chairmaker's bulrush,Schoenoplectus americanus,https://live.staticflickr.com/7337/9270888827_82f18f98c9_b.jpg,1,Full,Wet,Clay,2,F,,Yellow Sedge Borer,empty,empty,,,,,,,
Common threesquare,Schoenoplectus pungens,https://live.staticflickr.com/5598/15254355400_4032174995_b.jpg,1,Full,Flooded,Sandy,2,F,,Yellow Sedge Borer,empty,empty,,,,,,,
Culver's root,Veronicastrum virginicum,https://live.staticflickr.com/5285/5363488473_3763d4d3ae_b.jpg,4,Partial,Wet,Sandy,1,F,,Burdock Borer,Metallic Coleophora Moth,empty,,,,,,,
Purple lovegrass,Eragrostis spectabilis,https://live.staticflickr.com/8108/8508142287_07d858e325_b.jpg,2,Full,Dry,Sandy,5,F,,Spotted Straw Moth,Paradoxical Grass Moth,empty,,,,,,,
Teal lovegrass,Eragrostis hypnoides,https://www.illinoiswildflowers.info/grasses/photos/cr_lvgrass1.jpg,2,Full,Moist,Sandy,5,F,,Spotted Straw Moth,Paradoxical Grass Moth,empty,,,,,,,
Tufted lovegrass,Eragrostis pectinacea,https://api.creativecommons.engineering/v1/thumbs/9babcc1e-b72e-4f4e-8a97-3e4270c44dd8,2,Partial,Moist,Loamy,5,F,,Spotted Straw Moth,Paradoxical Grass Moth,empty,,,,,,,
Mexican muhly,Muhlenbergia mexicana,https://calscape.com/species_images/calphotos/images500/0000_0000_0809_2234.jpeg,1,Full,Moist,Loamy,2,F,,Striped Garden Caterpillar Moth,Green Cutworm Moth,empty,,,,,,,
Woodland muhly,Muhlenbergia sylvatica,http://southeasternflora.org/images/medium/Muhlenbergia%20sylvatica_092717_470.jpg,1,Partial,Moist,Loamy,2,F,,Striped Garden Caterpillar Moth,Green Cutworm Moth,empty,,,,,,,
Poverty oatgrass,Danthonia spicata,https://live.staticflickr.com/5081/5272449450_7a5320df52_b.jpg,1,Full,Dry,Sandy,2,F,,Leonard's Skipper,Indian Skipper,empty,,,,,,,
